a,split_score,effective_support,active_support,row,V_i,d_intrinsic_tangent_sq,subject,split,source_label,source_file,source_dir,beta,dispersion,seed,tangent_defined,alpha,cap_radius
0.015625,0.6666666666666667,3.0000000000005445,3,28,1.3381953667870972,0.0028348127910194,1.0,0.0,feet,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.0000000000000697,3,29,1.04637403236059,0.0013782288463906,1.0,0.0,right_hand,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.000000000000035,3,30,1.1473896047173682,0.001986453892998,1.0,0.0,tongue,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.000000000000047,3,31,0.9337591103692788,0.0010344547577612,1.0,0.0,right_hand,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.000000000000081,3,32,0.922204253435136,0.0011360233701863,1.0,0.0,left_hand,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.0000000000000915,3,33,0.8427888111821709,0.0009384592254194,1.0,0.0,feet,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.0000000000000915,3,34,1.109201964416444,0.0014624866355306,1.0,0.0,left_hand,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.0000000000000115,3,35,1.3413508135466763,0.0030313999923773,1.0,0.0,feet,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.0000000000000235,3,36,1.0526114935291209,0.0013458383369711,1.0,0.0,left_hand,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.000000000000202,3,37,1.2527961620316015,0.0030317354728315,1.0,0.0,left_hand,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.0000000000000124,3,38,1.275727425178956,0.0045220155867227,1.0,0.0,feet,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.0000000000000924,3,39,1.080702787522302,0.0025034315417834,1.0,0.0,left_hand,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.000000000000047,3,40,1.1817105893414366,0.0038993744886964,1.0,0.0,left_hand,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.000000000000081,3,41,1.1224295820017904,0.0017120467290467,1.0,0.0,right_hand,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
